index,text,kontext,klassifikation.tore_bayern,klassifikation.tore_gegner,klassifikation.phase,meta.saison,meta.spieltag,meta.heim_auswaerts,meta.gegner,meta.tabelle,meta.ballbesitz_bayern,ergebnis.bayern,ergebnis.gegner,offizielle.schiedsrichter,offizielle.kommentator,source_file,sentiment__fine_tuned_german_sentiment,sentiment__fine_tuned_german_sentiment__conf,sentiment__xlm-roberta-base,sentiment__xlm-roberta-base__conf,sentiment__german-sentiment-bert,sentiment__german-sentiment-bert__conf,sentiment__german-news-sentiment-bert,sentiment__german-news-sentiment-bert__conf
18,Bayerns offensive Spielweise und ihre Risiken nutzte Mainz geschickt aus.,Neutral,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Neutral,0.979,Neutral,0.9203,Neutral,1.0,Neutral,0.9686
19,"Kim und Dier waren zwar eng an Burkardt dran, konnten aber den Abschluss nicht verhindern.",Neutral,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Neutral,0.9017,Neutral,0.8555,Neutral,1.0,Neutral,0.9841
20,Jonathan Burkardt war zuletzt in überragender Form.,1. FSV Mainz 05,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9064,Negativ,0.5191,Neutral,1.0,Neutral,0.9724
21,"Henriksen zeigte an, dass Mainz wechseln musste.",1. FSV Mainz 05,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Negativ,0.8929,Negativ,0.5105,Neutral,1.0,Neutral,0.9687
22,"Für Burkardt ging es nicht mehr weiter, wie lange er ausfallen wird, war am Wochenende noch offen.",1. FSV Mainz 05,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Negativ,0.5924,Positiv,0.5148,Neutral,0.9967,Neutral,0.5125
23,Für ihn kam die Bayern-Leihgabe Armindo Sieb ins Spiel.,1. FSV Mainz 05,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9305,Positiv,0.6361,Neutral,1.0,Neutral,0.9708
24,"Eine Viertelstunde war gespielt, Mainz ohne Burkardt, aber dann nach diesem Freistoß: Lee gegen Guerreiro.",Neutral,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Neutral,0.9747,Neutral,0.9113,Neutral,0.9977,Negativ,0.562
25,"Das Spiel lief weiter, Schiedsrichter Willenborg zeigte sofort an, dass da nichts war.",Neutral,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Neutral,0.9687,Neutral,0.9135,Neutral,1.0,Neutral,0.9863
26,"Lee fiel von der Schwerkraft und nicht von Guerreiro zu Boden gebracht, kam unverwarnt davon.",Neutral,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Neutral,0.9458,Neutral,0.8314,Neutral,1.0,Neutral,0.9961
27,Im Anschluss verflachte das Spiel ein wenig.,Neutral,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Neutral,0.9153,Neutral,0.81,Neutral,0.9998,Neutral,0.9543
28,"Dann Eckball für Mainz: Amiri, die Bayern dazwischen, die Chance noch mal aufgewärmt.",Neutral,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Neutral,0.958,Neutral,0.8894,Neutral,0.9557,Negativ,0.7759
29,"Caci plötzlich frei, Peretz, der Neuer im Bayern-Tor vertrat, hatte keine größere Mühe bei diesem zu zentralen Schuss des Mainzers in der 29. Minute.",1. FSV Mainz 05,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.7474,Positiv,0.6611,Neutral,1.0,Neutral,0.6541
30,"Caci war überrascht, dass er so frei an den Ball kam.",1. FSV Mainz 05,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.8964,Positiv,0.6088,Neutral,1.0,Neutral,0.9807
31,Die Schlussphase der ersten Hälfte lief.,Neutral,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Neutral,0.9443,Neutral,0.8534,Neutral,0.9999,Neutral,0.9816
32,Die Bayern hatten seit dem Olise-Kopfball keine nennenswerte Tormöglichkeit mehr.,FC Bayern München,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Negativ,0.8291,Positiv,0.6293,Neutral,0.9975,Negativ,0.845
33,"Nach der Kimmich-Ecke mit Sané geblockt, stand wieder ein 05er im Weg.",FC Bayern München,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.8996,Positiv,0.5195,Neutral,1.0,Neutral,0.9353
34,Die beste Offensivabteilung der Liga war bei diesem Gastspiel in Mainz bislang nur ein Schatten ihrer selbst.,FC Bayern München,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9574,Positiv,0.6462,Neutral,1.0,Neutral,0.9427
35,Die nächste Bayern-Ecke war wieder nicht sonderlich gefährlich und aus der Münchner Standardsituation ergab sich ein Umschaltmoment für Mainz.,Neutral,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Neutral,0.8267,Neutral,0.8749,Neutral,1.0,Neutral,0.9908
36,"Sieb als Antreiber, Laimer konnte zunächst klären, aber Mainz war sofort wieder bissig.",1. FSV Mainz 05,0,0,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Negativ,0.8823,Positiv,0.5198,Neutral,0.9986,Neutral,0.4757
37,"Caci mit dem Luftloch, Armindo Sieb abgefälscht, Lee und das Tor: 1:0 für die Mainzer.",1. FSV Mainz 05,0,1,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9449,Positiv,0.6537,Neutral,0.9988,Neutral,0.6403
38,"Viertes Saisontor für ihn, ein neuer Rekord in einer Hinrunde.",1. FSV Mainz 05,0,1,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.958,Positiv,0.5942,Neutral,1.0,Neutral,0.9805
39,"Weniger rekordverdächtig war das Abwehrverhalten der Münchner, die im entscheidenden Moment den entscheidenden Schritt zu spät kamen.",FC Bayern München,0,1,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.7484,Positiv,0.592,Neutral,1.0,Neutral,0.9783
40,"Kim Kopfball-Interruptus, Olise dann wohl überrascht, angeschossen, und so kam der Ball zu Lee.",FC Bayern München,0,1,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.8751,Positiv,0.6388,Neutral,0.9958,Negativ,0.5259
41,"Aus dieser Distanz natürlich ohne Mühe, Peretz aus dieser Distanz natürlich ohne Chance.",1. FSV Mainz 05,0,1,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9521,Positiv,0.5363,Neutral,0.9848,Neutral,0.6423
42,"Ein bisschen Zufall, ein bisschen Glück war auch dabei bei der Führung in der 41. Minute.",1. FSV Mainz 05,0,1,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.8576,Positiv,0.5916,Negativ,0.6442,Positiv,0.4677
43,Bayern und Musiala offensiv in der ersten Hälfte ohne die nötige Durchschlagskraft.,FC Bayern München,0,1,1,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9162,Positiv,0.6503,Neutral,1.0,Neutral,0.9051
44,"Hinein in den zweiten Durchgang: Das Mainzer Erfolgsrezept gegen den Rekordmeister bislang: hohe Intensität, wenig Raum, notfalls helfen auch mal Fouls.",1. FSV Mainz 05,0,1,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9495,Positiv,0.6461,Neutral,0.9998,Neutral,0.511
45,"Apropos Foulspiel: Dominik Kohr, der Mainzer als Olise-Jäger und Gelbsammler, mit seiner achten Gelben in der Liga.",1. FSV Mainz 05,0,1,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9624,Positiv,0.6687,Neutral,1.0,Neutral,0.9306
46,Niemand sammelt fleißiger die gelben Kärtchen.,1. FSV Mainz 05,0,1,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.7384,Negativ,0.515,Neutral,0.9992,Neutral,0.5133
47,Kohr trifft Olise klar.,1. FSV Mainz 05,0,1,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.7157,Negativ,0.5327,Neutral,0.9995,Neutral,0.9431
48,"Nicht nur Kohr, sondern auch die anderen Mainzer waren teils rustikal in den Zweikämpfen, sehr zum Leidwesen der Münchner, wie hier Pavlovic.",1. FSV Mainz 05,0,1,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.8241,Positiv,0.6271,Neutral,1.0,Neutral,0.5666
49,"Knappe Stunde vorbei, die Bayern ohne Ideen und Impulse.",FC Bayern München,0,1,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.957,Positiv,0.5308,Neutral,0.9926,Neutral,0.6951
50,Kompany brachte Goretzka und Boey für Pavlovic und Guerreiro.,FC Bayern München,0,1,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9239,Positiv,0.5405,Neutral,1.0,Neutral,0.9991
51,"An der mauen Offensivabteilung mit Müller, Musiala und Olise änderte sich vorerst nichts.",FC Bayern München,0,1,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.8948,Positiv,0.5289,Neutral,1.0,Neutral,0.9834
52,"Genau 60 Minuten gespielt, wieder die 05er: Lee in der Mitte und wieder ist er drin.",1. FSV Mainz 05,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9339,Positiv,0.6015,Neutral,0.9883,Neutral,0.7474
53,Doppelpack des Südkoreaners.,1. FSV Mainz 05,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.8925,Negativ,0.5028,Neutral,0.9923,Neutral,0.7801
54,Die Mainzer gegen die Bayern kalt und effektiv.,1. FSV Mainz 05,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.916,Positiv,0.5386,Neutral,0.9951,Neutral,0.5831
55,Kompany für seine Münchner ein absolut gebrauchter Nachmittag.,FC Bayern München,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9384,Positiv,0.5204,Neutral,0.9999,Neutral,0.947
56,Die Einleitung von Caci war aus der Gourmet-Abteilung: Hacke und dann wieder das Duell Lee.,1. FSV Mainz 05,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9363,Positiv,0.5625,Neutral,1.0,Neutral,0.9606
57,"Was beim 1:0 geklappt hat, klappt auch beim 2:0.",1. FSV Mainz 05,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Negativ,0.8399,Positiv,0.5142,Positiv,0.8905,Positiv,0.9194
58,"Der Ball abgefälscht, Peretz wieder chancenlos.",1. FSV Mainz 05,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Negativ,0.5031,Negativ,0.5131,Neutral,0.9969,Negativ,0.7811
59,"Der Vertreter bekam gegen Heidenheim und jetzt gegen Mainz fünf Schüsse auf sein Tor, vier davon waren drin.",FC Bayern München,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9425,Positiv,0.6807,Neutral,0.9999,Neutral,0.842
60,Eine bittere Bilanz.,FC Bayern München,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.8306,Negativ,0.5117,Neutral,0.9751,Negativ,0.6525
61,Bo Henriksen konnte das Mainzer Glück kaum fassen.,1. FSV Mainz 05,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.8034,Positiv,0.5059,Neutral,0.9966,Neutral,0.8596
62,Was ist los mit den Bayern?,FC Bayern München,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.882,Negativ,0.51,Neutral,0.7124,Neutral,0.4693
63,"Müller mal auf außen, seine Flanke auf Sané, das war nichts.",FC Bayern München,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.7553,Positiv,0.5758,Neutral,0.9857,Negativ,0.6712
64,Dem FCB fehlen die klaren Ideen vor dem Tor.,FC Bayern München,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9505,Positiv,0.6272,Neutral,0.9942,Neutral,0.5939
65,Sanés Schuss war eher für die Zuschauer jenseits des Fangnetzes als für das Tor von Zentner gefährlich.,FC Bayern München,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.8644,Positiv,0.6041,Neutral,1.0,Neutral,0.7161
66,"Nach einer guten Stunde kam Mathys Tel für Eric Dier, ein klares Signal von Kompany.",FC Bayern München,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9588,Positiv,0.5562,Neutral,0.9999,Neutral,0.9331
67,Dann aber zunächst wieder die Rheinhessen: Armindo Sieb ein bisschen zu hastig im Abschluss.,1. FSV Mainz 05,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9382,Positiv,0.5595,Neutral,0.9999,Neutral,0.6811
68,"Mainz machte an diesem Spieltag gegen die Bayern viel, wenn auch nicht immer alles.",1. FSV Mainz 05,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9059,Positiv,0.653,Neutral,0.9947,Neutral,0.5015
69,"Dem FCB blieb noch eine Viertelstunde, um die erste Niederlage unter Kompany abzuwenden.",FC Bayern München,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9259,Positiv,0.6575,Neutral,1.0,Neutral,0.9639
70,"Laimer in der Mitte, Musiala, Münchens Kopfballungeheuer, schwieriger Ball für ihn, wieder keine echte Gefahr für das Mainzer Tor.",FC Bayern München,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.8811,Positiv,0.6394,Neutral,0.9899,Neutral,0.5923
71,"Dann ist Feierabend für Sieb, der Burkardt-Ersatz mit zwei Vorlagen, macht Platz für Onisiwo.",1. FSV Mainz 05,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Negativ,0.6008,Positiv,0.5695,Negativ,0.8725,Neutral,0.4292
72,Bei seiner Leistung und dem Spielstand wird er es wahrscheinlich verkraften können.,1. FSV Mainz 05,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9432,Positiv,0.5185,Neutral,1.0,Neutral,0.9701
73,Auf der anderen Seite wird es langsam eng für die Bayern.,FC Bayern München,0,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Negativ,0.5897,Positiv,0.5108,Neutral,0.9686,Negativ,0.6841
74,"Die Schlussphase läuft: Laimer, Olise, Kimmich, Bell dazwischen, Sané staubt ab.",FC Bayern München,1,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.7577,Positiv,0.5801,Neutral,0.9999,Negativ,0.6066
75,"87. Minute, die Bayern sind wieder da, nur noch ein 1:2 aus Sicht der Münchner.",FC Bayern München,1,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.7843,Positiv,0.673,Negativ,0.9357,Negativ,0.6611
76,"Zweites Saisontor von Leroy Sané, eines, das für Hoffnung sorgen kann.",FC Bayern München,1,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.8815,Positiv,0.5943,Neutral,0.9998,Neutral,0.931
77,Der Anschlusstreffer der Bayern.,FC Bayern München,1,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9473,Positiv,0.5024,Neutral,0.9975,Neutral,0.7802
78,"Bells verunglückte Klärungstat, Sané völlig frei, Zentner kann auch nichts mehr machen.",FC Bayern München,1,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Negativ,0.8241,Positiv,0.4976,Neutral,0.9931,Negativ,0.7259
79,Verdaddeln die Mainzer wieder die Punkte wie am letzten Spieltag gegen Wolfsburg?,1. FSV Mainz 05,1,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Negativ,0.9392,Positiv,0.6674,Neutral,0.9596,Negativ,0.4769
80,"Der FSV Mainz 05 robust und leidenschaftlich gegen die Münchner, denen einfach zu wenig einfällt.",1. FSV Mainz 05,1,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9065,Positiv,0.6271,Neutral,0.9764,Positiv,0.4517
81,"Thomas Müller nahezu wirkungslos und ohne Abschluss, Musiala abgemeldet.",FC Bayern München,1,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Negativ,0.7076,Negativ,0.4981,Neutral,0.9931,Negativ,0.8841
82,"Noch mal eine Hereingabe, Zentner ohne Mühe bei dem Ball von Olise.",FC Bayern München,1,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.4904,Positiv,0.5188,Neutral,0.9913,Neutral,0.7606
83,Kurz danach ist Schluss.,Neutral,1,2,2,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Neutral,0.9433,Neutral,0.7744,Neutral,0.9989,Neutral,0.9557
84,"Bo Henriksen völlig außer Rand und Band, er weiß gar nicht wohin mit der ganzen Freude.",1. FSV Mainz 05,1,2,3,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Positiv,0.9171,Positiv,0.5518,Neutral,0.9864,Neutral,0.4991
85,Mainz gewinnt dank des Lee-Doppelpacks und Kompany kassiert die erste Niederlage als Bayern-Trainer in der Bundesliga.,Neutral,1,2,3,24/25,14,Auswärts,1. FSV Mainz 05,1,0.68,1,2,Frank Willenborg,Daniel Gahn,24-25_S14_1._fsv_mainz_05.json,Neutral,0.9056,Neutral,0.8633,Neutral,1.0,Neutral,0.9953
0,"Es sind emotionale Momente nach dem Abpfiff, nur eine Stunde nach dem Anschlag in Magdeburg, bei dem ein Mensch mit einem PKW in eine Menge auf dem Weihnachtsmarkt gerast ist.",Neutral,0,0,3,24/25,15,Heim,RB Leipzig,1,0.71,5,1,Daniel Siebert,Moritz Zschau,24-25_S15_rb_leipzig.json,Neutral,0.8274,Neutral,0.7934,Neutral,0.9999,Neutral,0.9421
1,"Deswegen haben wir uns auch entschieden, ganz kurzfristig auf unsere heutige Weihnachtszeremonie zu verzichten.",Neutral,0,0,3,24/25,15,Heim,RB Leipzig,1,0.71,5,1,Daniel Siebert,Moritz Zschau,24-25_S15_rb_leipzig.json,Neutral,0.9246,Neutral,0.7676,Neutral,0.9961,Neutral,0.7466
2,Fans und Spieler in München gedenken der Toten und der Verletzten.,FC Bayern München,0,0,3,24/25,15,Heim,RB Leipzig,1,0.71,5,1,Daniel Siebert,Moritz Zschau,24-25_S15_rb_leipzig.json,Positiv,0.976,Positiv,0.5627,Neutral,1.0,Neutral,0.9754
3,Zurück zum Spiel: Die Bayern empfangen RB Leipzig zum Topspiel.,Neutral,0,0,0,24/25,15,Heim,RB Leipzig,1,0.71,5,1,Daniel Siebert,Moritz Zschau,24-25_S15_rb_leipzig.json,Neutral,0.9453,Neutral,0.911,Neutral,0.9718,Neutral,0.5949
4,Mit Alphonso Davies und Harry Kane kehren zwei ganz wichtige Spieler beim Rekordmeister zurück.,FC Bayern München,0,0,0,24/25,15,Heim,RB Leipzig,1,0.71,5,1,Daniel Siebert,Moritz Zschau,24-25_S15_rb_leipzig.json,Positiv,0.9375,Positiv,0.6301,Neutral,1.0,Neutral,0.9533
5,"Wir sind in der ersten Minute, 30 Sekunden gespielt.",Neutral,0,0,1,24/25,15,Heim,RB Leipzig,1,0.71,5,1,Daniel Siebert,Moritz Zschau,24-25_S15_rb_leipzig.json,Neutral,0.936,Neutral,0.865,Neutral,1.0,Neutral,0.9954
6,"Musiala, und schon gehen die Münchner in Führung.",FC Bayern München,1,0,1,24/25,15,Heim,RB Leipzig,1,0.71,5,1,Daniel Siebert,Moritz Zschau,24-25_S15_rb_leipzig.json,Negativ,0.7953,Positiv,0.5916,Neutral,0.9917,Neutral,0.6182
7,Blitzstart von den Bayern.,FC Bayern München,1,0,1,24/25,15,Heim,RB Leipzig,1,0.71,5,1,Daniel Siebert,Moritz Zschau,24-25_S15_rb_leipzig.json,Negativ,0.8087,Positiv,0.4992,Neutral,0.982,Neutral,0.4684
8,Jamal Musiala mit seinem Treffer.,FC Bayern München,1,0,1,24/25,15,Heim,RB Leipzig,1,0.71,5,1,Daniel Siebert,Moritz Zschau,24-25_S15_rb_leipzig.json,Positiv,0.9554,Positiv,0.5355,Neutral,1.0,Neutral,0.9736
9,"Ausgangspunkt ist der Fehlpass von Leipzig direkt in die Füße von Kimmich, und dann spielt der Rekordmeister schnell und schnörkellos.",Neutral,1,0,1,24/25,15,Heim,RB Leipzig,1,0.71,5,1,Daniel Siebert,Moritz Zschau,24-25_S15_rb_leipzig.json,Neutral,0.9342,Neutral,0.9228,Neutral,1.0,Neutral,0.8798
10,"Olise bereitet vor, Musiala schiebt ein.",FC Bayern München,1,0,1,24/25,15,Heim,RB Leipzig,1,0.71,5,1,Daniel Siebert,Moritz Zschau,24-25_S15_rb_leipzig.json,Positiv,0.8253,Negativ,0.5086,Neutral,0.9999,Neutral,0.9242
11,Es ist sein viertes Tor in den letzten vier Bundesliga-Spielen.,FC Bayern München,1,0,1,24/25,15,Heim,RB Leipzig,1,0.71,5,1,Daniel Siebert,Moritz Zschau,24-25_S15_rb_leipzig.json,Positiv,0.9536,Positiv,0.6634,Neutral,1.0,Neutral,0.9961
12,Besser hätte sich Vincent Kompany den Start natürlich nicht vorstellen können.,FC Bayern München,1,0,1,24/25,15,Heim,RB Leipzig,1,0.71,5,1,Daniel Siebert,Moritz Zschau,24-25_S15_rb_leipzig.json,Positiv,0.5354,Positiv,0.5485,Negativ,0.6712,Negativ,0.6892
